,Name,B/T,B,T
0,ANGELS,ANGELS,ANGELS,
1,Tyler Anderson,L/L,L,L
2,Jaime Barria,R/R,R,R
3,Griffin Canning,R/R,R,R
4,Tucker Davidson,L/L,L,L
5,Reid Detmers,L/L,L,L
6,Carlos Estevez,R/R,R,R
7,Aaron Loup,L/L,L,L
8,Matt Moore,L/L,L,L
9,Jose Quijada,L/L,L,L
10,Patrick Sandoval,L/L,L,L
11,Chase Silseth,R/R,R,R
12,Jose Suarez,L/L,L,L
13,Andrew Wantz,R/R,R,R
14,Shohei Ohtani,L/R,L,R
15,Matt Thaiss,L/R,L,R
16,Chad Wallach,R/R,R,R
17,Brandon Drury,R/R,R,R
18,Jake Lamb,L/R,L,R
19,Zach Neto,R/R,R,R
20,Anthony Rendon,R/R,R,R
21,Luis Rengifo,S/R,S,R
22,Gio Urshela,R/R,R,R
23,Brett Phillips,L/R,L,R
24,Hunter Renfroe,R/R,R,R
25,Mike Trout,R/R,R,R
26,Taylor Ward,R/R,R,R
27,ASTROS,ASTROS,ASTROS,
28,Bryan Abreu,R/R,R,R
29,Ronel Blanco,R/R,R,R
30,Hunter Brown,R/R,R,R
31,Luis Garcia,R/R,R,R
32,Cristian Javier,R/R,R,R
33,Seth Martinez,R/R,R,R
34,Phil Maton,R/R,R,R
35,Rafael Montero,R/R,R,R
36,Hector Neris,R/R,R,R
37,Ryan Pressly,R/R,R,R
38,Ryne Stanek,R/R,R,R
39,Jose Urquidy,R/R,R,R
40,Framber Valdez,R/L,R,L
41,Yainer Diaz,R/R,R,R
42,Martin Maldonado,R/R,R,R
43,Cesar Salazar,L/R,L,R
44,Jose Abreu,R/R,R,R
45,Rylan Bannon,R/R,R,R
46,Alex Bregman,R/R,R,R
47,Mauricio Dubon,R/R,R,R
48,David Hensley,R/R,R,R
49,Jeremy Pena,R/R,R,R
50,Yordan Alvarez,L/R,L,R
51,Corey Julks,R/R,R,R
52,Jake Meyers,R/L,R,L
53,Kyle Tucker,L/R,L,R
54,ATHLETICS,ATHLETICS,ATHLETICS,
55,Jeurys Familia,R/R,R,R
56,Shintaro Fujinami,R/R,R,R
57,Zach Jackson,R/R,R,R
58,Sam Long,L/L,L,L
59,Richard Lovelady,L/L,L,L
60,Luis Medina,R/R,R,R
61,Mason Miller,R/R,R,R
62,Sam Moll,L/L,L,L
63,Kyle Muller,R/L,R,L
64,Adam Oller,R/R,R,R
65,JP Sears,R/L,R,L
66,Chad Smith,R/R,R,R
67,Ken Waldichuk,L/L,L,L
68,Shea Langeliers,R/R,R,R
69,Carlos Perez,R/R,R,R
70,Jesus Aguilar,R/R,R,R
71,Jordan Diaz,R/R,R,R
72,Aledmys Diaz,R/R,R,R
73,Tony Kemp,L/R,L,R
74,Ryan Noda,L/L,L,L
75,Jace Peterson,L/R,L,R
76,Kevin Smith,R/R,R,R
77,Conner Capel,L/L,L,L
78,Brent Rooker,R/R,R,R
79,Esteury Ruiz,R/R,R,R
80,Tyler Wade,L/R,L,R
81,BLUEJAYS,BLUEJAYS,BLUEJAYS,
82,Anthony Bass,R/R,R,R
83,Chris Bassitt,R/R,R,R
84,Jose Berrios,R/R,R,R
85,Yimi Garcia,R/R,R,R
86,Kevin Gausman,L/R,L,R
87,Yusei Kikuchi,L/L,L,L
88,Alek Manoah,R/R,R,R
89,Tim Mayza,L/L,L,L
90,Nate Pearson,R/R,R,R
91,Zach Pop,R/R,R,R
92,Trevor Richards,R/R,R,R
93,Jordan Romano,R/R,R,R
94,Erik Swanson,R/R,R,R
95,Danny Jansen,R/R,R,R
96,Alejandro Kirk,R/R,R,R
97,Brandon Belt,L/L,L,L
98,Bo Bichette,R/R,R,R
99,Cavan Biggio,L/R,L,R
100,Matt Chapman,R/R,R,R
101,Santiago Espinal,R/R,R,R
102,Vladimir Guerrero Jr.,R/R,R,R
103,Kevin Kiermaier,L/R,L,R
104,Nathan Lukes,L/R,L,R
105,Whit Merrifield,R/R,R,R
106,George Springer,R/R,R,R
107,Daulton Varsho,L/R,L,R
108,BRAVES,BRAVES,BRAVES,
109,Nick Anderson,R/R,R,R
110,Jesse Chavez,R/R,R,R
111,Bryce Elder,R/R,R,R
112,Max Fried,L/L,L,L
113,Dylan Lee,L/L,L,L
114,Collin McHugh,R/R,R,R
115,A.J. Minter,L/L,L,L
116,Charlie Morton,R/R,R,R
117,Spencer Strider,R/R,R,R
118,Michael Tonkin,R/R,R,R
119,Kyle Wright,R/R,R,R
120,Kirby Yates,L/R,L,R
121,Danny Young,L/L,L,L
122,Sean Murphy,R/R,R,R
123,Chadwick Tromp,R/R,R,R
124,Ehire Adrianza,S/R,S,R
125,Ozzie Albies,S/R,S,R
126,Vaughn Grissom,R/R,R,R
127,Matt Olson,L/R,L,R
128,Austin Riley,R/R,R,R
129,Ronald Acuna Jr.,R/R,R,R
130,Sam Hilliard,L/L,L,L
131,Marcell Ozuna,R/R,R,R
132,Kevin Pillar,R/R,R,R
133,Eddie Rosario,L/R,L,R
134,Nick Solak,R/R,R,R
135,BREWERS,BREWERS,BREWERS,
136,Corbin Burnes,R/R,R,R
137,Jake Cousins,R/R,R,R
138,Eric Lauer,R/L,R,L
139,Wade Miley,L/L,L,L
140,Tyson Miller,R/R,R,R
141,Hoby Milner,L/L,L,L
142,Joel Payamps,R/R,R,R
143,Elvis Peguero,R/R,R,R
144,Freddy Peralta,R/R,R,R
145,Colin Rea,R/R,R,R
146,Peter Strzelecki,R/R,R,R
147,Devin Williams,R/R,R,R
148,Bryse Wilson,R/R,R,R
149,Victor Caratini,S/R,S,R
150,William Contreras,R/R,R,R
151,Willy Adames,R/R,R,R
152,Brian Anderson,R/R,R,R
153,Mike Brosseau,R/R,R,R
154,Owen Miller,R/R,R,R
155,Rowdy Tellez,L/L,L,L
156,Brice Turang,L/R,L,R
157,Luke Voit,R/R,R,R
158,Blake Perkins,S/R,S,R
159,Joey Wiemer,R/R,R,R
160,Christian Yelich,L/R,L,R
161,Jesse Winker,L/L,L,L
162,CARDINALS,CARDINALS,CARDINALS,
163,Genesis Cabrera,L/L,L,L
164,Jack Flaherty,R/R,R,R
165,Giovanny Gallegos,R/R,R,R
166,Ryan Helsley,R/R,R,R
167,Jordan Hicks,R/R,R,R
168,Steven Matz,R/L,R,L
169,Miles Mikolas,R/R,R,R
170,Jordan Montgomery,L/L,L,L
171,JoJo Romero,L/L,L,L
172,Chris Stratton,R/R,R,R
173,Zack Thompson,L/L,L,L
174,Drew VerHagen,R/R,R,R
175,Jake Woodford,R/R,R,R
176,Willson Contreras,R/R,R,R
177,Andrew Knizner,R/R,R,R
178,Nolan Arenado,R/R,R,R
179,Paul DeJong,R/R,R,R
180,Brendan Donovan,L/R,L,R
181,Tommy Edman,S/R,S,R
182,Paul Goldschmidt,R/R,R,R
183,Nolan Gorman,L/R,L,R
184,Taylor Motter,R/R,R,R
185,Alec Burleson,L/L,L,L
186,Dylan Carlson,S/L,S,L
187,Lars Nootbaar,L/R,L,R
188,Tyler O'Neill,R/R,R,R
189,CUBS,CUBS,CUBS,
190,Adbert Alzolay,R/R,R,R
191,Brad Boxberger,R/R,R,R
192,Jeremiah Estrada,S/R,S,R
193,Michael Fulmer,R/R,R,R
194,Brandon Hughes,S/L,S,L
195,Mark Leiter Jr.,R/R,R,R
196,Julian Merryweather,R/R,R,R
197,Michael Rucker,R/R,R,R
198,Drew Smyly,L/L,L,L
199,Justin Steele,L/L,L,L
200,Marcus Stroman,R/R,R,R
201,Keegan Thompson,R/R,R,R
202,Hayden Wesneski,R/R,R,R
203,Tucker Barnhart,L/R,L,R
204,Yan Gomes,R/R,R,R
205,Luis Torrens,R/R,R,R
206,Nico Hoerner,R/R,R,R
207,Eric Hosmer,L/L,L,L
208,Nick Madrigal,R/R,R,R
209,Trey Mancini,R/R,R,R
210,Edwin Rios,L/R,L,R
211,Dansby Swanson,R/R,R,R
212,Patrick Wisdom,R/R,R,R
213,Ian Happ,S/R,S,R
214,Seiya Suzuki,R/R,R,R
215,Nelson Velazquez,R/R,R,R
216,DBACKS,DBACKS,DBACKS,
217,Miguel Castro,R/R,R,R
218,Andrew Chafin,R/L,R,L
219,Zac Gallen,R/R,R,R
220,Kevin Ginkel,L/R,L,R
221,Tommy Henry,L/L,L,L
222,Merrill Kelly,R/R,R,R
223,Joe Mantiply,R/L,R,L
224,Scott McGough,R/R,R,R
225,Anthony Misiewicz,R/L,R,L
226,Ryne Nelson,R/R,R,R
227,Kyle Nelson,L/L,L,L
228,Jose Ruiz,R/R,R,R
229,Peter Solomon,R/R,R,R
230,Jose Herrera,S/R,S,R
231,Gabriel Moreno,R/R,R,R
232,Nick Ahmed,R/R,R,R
233,Evan Longoria,R/R,R,R
234,Ketel Marte,S/R,S,R
235,Geraldo Perdomo,S/R,S,R
236,Emmanuel Rivera,R/R,R,R
237,Josh Rojas,L/R,L,R
238,Pavin Smith,L/L,L,L
239,Christian Walker,R/R,R,R
240,Corbin Carroll,L/L,L,L
241,Lourdes Gurriel Jr.,R/R,R,R
242,Alek Thomas,L/L,L,L
243,DODGERS,DODGERS,DODGERS,
244,Yency Almonte,R/R,R,R
245,Phil Bickford,R/R,R,R
246,Justin Bruihl,L/L,L,L
247,Caleb Ferguson,R/L,R,L
248,Tony Gonsolin,R/R,R,R
249,Victor Gonzalez,L/L,L,L
250,Clayton Kershaw,L/L,L,L
251,Dustin May,R/R,R,R
252,Shelby Miller,R/R,R,R
253,Evan Phillips,R/R,R,R
254,Noah Syndergaard,L/R,L,R
255,Julio Urias,L/L,L,L
256,Alex Vesia,L/L,L,L
257,Austin Barnes,R/R,R,R
258,Austin Wynns,R/R,R,R
259,Michael Busch,L/R,L,R
260,Freddie Freeman,L/R,L,R
261,Chris Taylor,R/R,R,R
262,Miguel Vargas,R/R,R,R
263,Luke Williams,R/R,R,R
264,Mookie Betts,R/R,R,R
265,Jason Heyward,L/L,L,L
266,James Outman,L/R,L,R
267,David Peralta,L/L,L,L
268,Trayce Thompson,R/R,R,R
269,J.D. Martinez,R/R,R,R
270,GIANTS,GIANTS,GIANTS,
271,Scott Alexander,L/L,L,L
272,Tristan Beck,R/R,R,R
273,John Brebbia,L/R,L,R
274,Alex Cobb,R/R,R,R
275,Anthony DeSclafani,R/R,R,R
276,Camilo Doval,R/R,R,R
277,Sean Hjelle,R/R,R,R
278,Jakob Junis,R/R,R,R
279,Sean Manaea,R/L,R,L
280,Tyler Rogers,R/R,R,R
281,Taylor Rogers,L/L,L,L
282,Ross Stripling,R/R,R,R
283,Logan Webb,R/R,R,R
284,Joey Bart,R/R,R,R
285,Blake Sabol,L/R,L,R
286,Brandon Crawford,L/R,L,R
287,J.D. Davis,R/R,R,R
288,Thairo Estrada,R/R,R,R
289,Wilmer Flores,R/R,R,R
290,David Villar,R/R,R,R
291,LaMonte Wade Jr.,L/L,L,L
292,Michael Conforto,L/R,L,R
293,Mitch Haniger,R/R,R,R
