,B/T
0,TIGERS
1,"Apr 8, 20224/8"
2,vs
3,CHW
4,48.7%
5,W
6,5
7,4
8,Eduardo Rodriguez
9,Lucas Giolito
10,"Apr 9, 20224/9"
11,vs
12,CHW
13,45.5%
14,L
15,2
16,5
17,Casey Mize
18,Dylan Cease
19,"Apr 10, 20224/10"
20,vs
21,CHW
22,48.1%
23,L
24,1
25,10
26,Tarik Skubal
27,Michael Kopech
28,"Apr 11, 20224/11"
29,vs
30,BOS
31,47.4%
32,W
33,3
34,1
35,Matt Manning
36,Michael Wacha
37,"Apr 12, 20224/12"
38,vs
39,BOS
40,51.1%
41,L
42,3
43,5
44,Tyler Alexander
45,Rich Hill
46,"Apr 13, 20224/13"
47,vs
48,BOS
49,48.4%
50,L
51,7
52,9
53,Eduardo Rodriguez
54,Nathan Eovaldi
55,"Apr 14, 20224/14"
56,at
57,KCR
58,44.8%
59,W
60,4
61,2
62,Casey Mize
63,Zack Greinke
64,"Apr 15, 20224/15"
65,at
66,KCR
67,45.5%
68,W
69,2
70,1
71,Tarik Skubal
72,Brad Keller
73,"Apr 16, 20224/16"
74,at
75,KCR
76,42.4%
77,L
78,1
79,3
80,Matt Manning
81,Kris Bubic
82,"Apr 19, 20224/19"
83,vs
84,NYY
85,36.1%
86,L
87,2
88,4
89,Tyler Alexander
90,Gerrit Cole
91,"Apr 20, 20224/20"
92,vs
93,NYY
94,44.6%
95,L
96,3
97,5
98,Eduardo Rodriguez
99,Luis Severino
100,"Apr 21, 20224/21"
101,vs
102,NYY
103,43.0%
104,W
105,3
106,0
107,Michael Pineda
108,Jordan Montgomery
109,"Apr 23, 20224/23"
110,vs
111,COL
112,57.2%
113,W
114,13
115,0
116,Tarik Skubal
117,Antonio Senzatela
118,"Apr 23, 20224/23"
119,vs
120,COL
121,56.5%
122,L
123,2
124,3
125,Beau Brieske
126,Austin Gomber
127,"Apr 24, 20224/24"
128,vs
129,COL
130,57.6%
131,L
132,2
133,6
134,Tyler Alexander
135,Chad Kuhl
136,"Apr 26, 20224/26"
137,at
138,MIN
139,46.6%
140,L
141,4
142,5
143,Eduardo Rodriguez
144,Chris Paddack
145,"Apr 27, 20224/27"
146,at
147,MIN
148,39.6%
149,L
150,0
151,5
152,Michael Pineda
153,Joe Ryan
