Date,Opp,Name,ERA,FIP
Jul 19,MIA,Sandy Alcantara,1.76,2.72
Jul 19,SFG,Carlos Rodon,2.66,2.14
Jul 19,TOR,Kevin Gausman,2.87,1.85
Jul 19,PHI,Aaron Nola,3.13,2.80
Jul 19,ATL,Max Fried,2.64,2.57
Jul 19,TBR,Shane McClanahan,1.71,2.41
Jul 19,LAA,Shohei Ohtani,2.38,2.27
Jul 19,PHI,Zack Wheeler,2.89,2.70
Jul 19,CHW,Dylan Cease,2.15,2.67
Jul 19,MIL,Corbin Burnes,2.14,2.90
Jul 19,HOU,Justin Verlander,1.89,3.08
Jul 19,CLE,Shane Bieber,3.24,2.73
Jul 19,SDP,Joe Musgrove,2.42,3.08
Jul 19,SFG,Logan Webb,2.83,3.10
Jul 19,ATL,Spencer Strider,3.03,2.04
Jul 19,TOR,Alek Manoah,2.28,3.34
Jul 19,TEX,Martin Perez,2.68,3.14
Jul 19,DET,Tarik Skubal,4.11,3.02
Jul 19,NYM,Max Scherzer,2.22,2.37
Jul 19,LAD,Clayton Kershaw,2.13,2.47
Jul 19,NYM,Taijuan Walker,2.55,2.97
Jul 19,ARI,Merrill Kelly,3.26,3.33
Jul 19,HOU,Framber Valdez,2.66,3.32
Jul 19,SDP,Yu Darvish,3.41,3.44
Jul 19,LAD,Tyler Anderson,2.96,3.33
Jul 19,NYY,Gerrit Cole,3.02,3.29
Jul 19,CIN,Luis Castillo,2.77,3.04
Jul 19,LAA,Patrick Sandoval,3.22,3.05
Jul 19,ATL,Kyle Wright,2.95,3.35
Jul 19,CIN,Tyler Mahle,4.48,3.55
Jul 19,TBR,Corey Kluber,3.73,3.42
Jul 19,STL,Miles Mikolas,2.54,3.69
Jul 19,SFG,Alex Wood,4.20,3.10
Jul 19,HOU,Cristian Javier,3.22,2.92
Jul 19,OAK,Frankie Montas,3.26,3.30
Jul 19,SEA,Logan Gilbert,2.76,3.51
Jul 19,PIT,Jose Quintana,3.99,3.32
Jul 19,STL,Ryan Helsley,0.69,1.45
Jul 19,LAD,Tony Gonsolin,2.02,3.39
Jul 19,NYY,Nestor Cortes,2.63,3.56
Jul 19,NYM,Edwin Diaz,1.69,1.18
Jul 19,TEX,Jon Gray,3.71,3.34
Jul 19,MIA,Pablo Lopez,2.86,3.64
Jul 19,NYM,Carlos Carrasco,4.27,3.51
Jul 19,TOR,Ross Stripling,3.03,3.09
Jul 19,MIL,Brandon Woodruff,3.93,3.04
Jul 19,CHC,Justin Steele,4.15,3.40
Jul 19,NYY,Michael King,2.19,2.22
Jul 19,NYY,Jameson Taillon,3.86,3.77
Jul 19,PIT,JT Brubaker,4.02,3.73
Jul 19,SFG,Alex Cobb,4.09,3.00
Jul 19,MIL,Devin Williams,1.77,1.49
Jul 19,STL,Adam Wainwright,3.00,3.74
Jul 19,ATL,A.J. Minter,1.83,1.56
Jul 19,SEA,Robbie Ray,3.54,3.91
Jul 19,CHW,Reynaldo Lopez,2.79,1.66
Jul 19,BOS,Nick Pivetta,4.50,4.07
Jul 19,LAD,Julio Urias,2.89,3.99
Jul 19,MIL,Freddy Peralta,4.42,2.10
Jul 19,OAK,Paul Blackburn,3.62,3.66
Jul 19,NYM,Chris Bassitt,3.79,3.83
Jul 19,NYY,Clay Holmes,1.31,2.00
Jul 19,SDP,Sean Manaea,4.11,4.07
Jul 19,SDP,Taylor Rogers,3.82,2.24
Jul 19,PIT,Mitch Keller,4.55,3.87
Jul 19,BAL,Tyler Wells,3.38,4.06
Jul 19,CHC,Keegan Thompson,3.43,3.75
Jul 19,MIN,Sonny Gray,3.71,3.49
Jul 19,MIA,Anthony Bass,1.36,2.13
Jul 19,COL,Kyle Freeland,4.96,4.50
Jul 19,CLE,Emmanuel Clase,1.41,2.12
Jul 19,CHC,Scott Effross,2.93,1.99
Jul 19,PHI,Kyle Gibson,4.35,4.19
Jul 19,COL,Chad Kuhl,4.11,4.46
Jul 19,NYY,Jordan Montgomery,3.26,3.97
Jul 19,TBR,Jason Adam,1.41,2.33
Jul 19,MIN,Joe Ryan,2.99,3.99
Jul 19,ARI,Zac Gallen,3.56,3.99
Jul 19,CLE,Triston McKenzie,3.20,4.22
Jul 19,BOS,Garrett Whitlock,3.31,3.23
Jul 19,HOU,Jake Odorizzi,3.56,3.42
Jul 19,PIT,David Bednar,2.89,2.65
Jul 19,COL,Antonio Senzatela,4.95,3.86
Jul 19,PHI,Zach Eflin,4.37,3.83
Jul 19,SFG,John Brebbia,2.45,2.29
Jul 19,HOU,Luis Garcia,3.65,4.07
Jul 19,LAA,Noah Syndergaard,4.00,4.05
Jul 19,PHI,Ranger Suarez,4.07,4.10
Jul 19,SDP,MacKenzie Gore,4.33,3.88
Jul 19,ATL,Kenley Jansen,3.53,2.50
Jul 19,CHW,Liam Hendriks,2.35,2.33
Jul 19,HOU,Rafael Montero,1.93,2.28
Jul 19,TBR,Drew Rasmussen,3.22,3.75
Jul 19,OAK,Cole Irvin,3.21,3.97
Jul 19,TEX,Brock Burke,1.15,2.56
Jul 19,ARI,Zach Davies,3.94,4.24
Jul 19,KCR,Brad Keller,3.96,4.22
Jul 19,TBR,J.P. Feyereisen,0.00,1.67
Jul 19,LAD,Walker Buehler,4.02,3.80
Jul 19,BAL,Jordan Lyles,4.76,4.35
Jul 19,BOS,Michael Wacha,2.69,3.97
Jul 19,PHI,Seranthony Dominguez,1.85,2.52
Jul 19,LAD,Evan Phillips,1.50,2.39
Jul 19,MIN,Dylan Bundy,4.71,4.07
Jul 19,COL,Tyler Kinley,0.75,1.74
Jul 19,BOS,John Schreiber,1.60,2.37
Jul 19,LAD,Craig Kimbrel,4.35,1.95
Jul 19,MIN,Chris Paddack,4.03,1.72
Jul 19,TBR,Jeffrey Springs,2.53,3.66
Jul 19,ATL,Charlie Morton,4.45,4.20
Jul 19,MIN,Bailey Ober,4.01,2.79
Jul 19,BAL,Bryan Baker,4.08,2.51
Jul 19,TBR,Brooks Raley,2.79,2.01
Jul 19,BOS,Rich Hill,4.20,4.05
Jul 19,SDP,Blake Snell,5.22,3.69
Jul 19,ATL,Collin McHugh,3.10,2.74
Jul 19,CHW,Johnny Cueto,2.80,3.98
Jul 19,TEX,Dennis Santana,4.21,2.73
Jul 19,TEX,Matt Moore,1.73,2.63
Jul 19,COL,Austin Gomber,5.97,4.60
Jul 19,CIN,Graham Ashcraft,4.45,4.01
Jul 19,CLE,Zach Plesac,4.02,4.22
Jul 19,KCR,Brady Singer,4.02,4.10
Jul 19,BAL,Jorge Lopez,1.62,2.98
Jul 19,PIT,Wil Crowe,3.31,3.19
Jul 19,LAD,Daniel Hudson,2.22,2.04
Jul 19,ARI,Joe Mantiply,2.21,2.51
Jul 19,COL,Alex Colome,2.86,2.62
Jul 19,CHW,Michael Kopech,3.36,4.49
Jul 19,NYY,Luis Severino,3.45,4.03
Jul 19,MIL,Adrian Houser,4.72,4.20
Jul 19,SDP,Luis Garcia,3.57,2.80
Jul 19,CHW,Lucas Giolito,4.69,4.28
Jul 19,CLE,Trevor Stephan,2.80,2.49
Jul 19,SDP,Nabil Crismatt,2.72,2.93
Jul 19,CLE,Eli Morgan,2.83,3.16
Jul 19,CLE,Cal Quantrill,3.75,4.45
Jul 19,SEA,Chris Flexen,3.79,4.39
Jul 19,NYM,David Peterson,3.24,3.85
Jul 19,WSN,Patrick Corbin,5.87,4.65
Jul 19,HOU,Jose Urquidy,4.09,4.44
Jul 19,CHC,Marcus Stroman,4.69,3.85
Jul 19,KCR,Daniel Lynch,5.05,4.22
Jul 19,BOS,Matt Strahm,3.58,2.61
Jul 19,BOS,Tanner Houck,3.15,3.13
Jul 19,ATL,Ian Anderson,4.79,4.31
Jul 19,MIA,Braxton Garrett,3.70,3.45
Jul 19,DET,Andrew Chafin,2.22,2.34
Jul 19,DET,Alex Lange,2.04,2.52
Jul 19,TEX,Dane Dunning,4.42,4.29
Jul 19,SDP,Mike Clevinger,3.50,3.82
Jul 19,OAK,Zach Jackson,2.95,2.70
Jul 19,BAL,Dean Kremer,2.59,3.59
Jul 19,CIN,Connor Overton,1.82,3.15
Jul 19,HOU,Hector Neris,3.55,2.80
Jul 19,SEA,Erik Swanson,1.04,2.00
Jul 19,PHI,Nick Nelson,4.09,3.02
Jul 19,DET,Joe Jimenez,3.38,2.22
Jul 19,PIT,Duane Underwood Jr.,3.96,2.27
Jul 19,MIL,Aaron Ashby,4.57,3.92
Jul 19,TOR,Adam Cimber,3.15,3.39
Jul 19,NYM,Tylor Megill,5.01,3.60
Jul 19,SEA,Andres Munoz,2.92,2.68
Jul 19,COL,Daniel Bard,2.02,3.53
Jul 19,HOU,Ryan Pressly,2.89,2.61
Jul 19,LAA,Michael Lorenzen,4.94,4.46
Jul 19,STL,Giovanny Gallegos,3.75,3.14
Jul 19,COL,German Marquez,5.47,4.86
Jul 19,KCR,Zack Greinke,4.64,4.57
Jul 19,NYY,Wandy Peralta,2.27,2.78
Jul 19,TOR,Yimi Garcia,2.90,3.11
Jul 19,- - -,Jesse Chavez,2.90,3.06
Jul 19,DET,Michael Fulmer,2.38,3.35
Jul 19,TOR,David Phelps,2.70,2.87
Jul 19,SEA,George Kirby,3.78,4.12
Jul 19,CHW,Kendall Graveman,2.21,3.11
Jul 19,HOU,Bryan Abreu,3.00,2.26
Jul 19,NYY,Lucas Luetge,3.09,2.55
Jul 19,TOR,Jordan Romano,2.65,3.29
