,Date,Team,Loc,Opp,WL,RS,RA,Name,ERA,FIP
0,Mar 30,angels,at,OAK,L,1,2,Kyle Muller,5.412842655433341,4.874726837766857
1,Apr 1,angels,at,OAK,W,13,1,Shintaro Fujinami,5.412842655433341,4.874726837766857
2,Apr 2,angels,at,OAK,W,6,0,Ken Waldichuk,5.412842655433341,4.874726837766857
3,Apr 3,angels,at,SEA,W,7,3,George Kirby,5.412842655433341,4.874726837766857
4,Apr 4,angels,at,SEA,L,2,11,Luis Castillo,0.0,1.28
5,Apr 5,angels,at,SEA,W,4,3,Chris Flexen,2.25,5.03
6,Apr 7,angels,vs,TOR,L,3,4,Chris Bassitt,24.3,18.88
7,Apr 8,angels,vs,TOR,W,9,5,Jose Berrios,12.71,1.87
8,Apr 9,angels,vs,TOR,L,11,12,Yusei Kikuchi,1.8,5.68
9,Apr 10,angels,vs,WSN,L,4,6,Patrick Corbin,8.0,5.84
10,Apr 11,angels,vs,WSN,W,2,0,Josiah Gray,4.91,5.83
11,Apr 12,angels,vs,WSN,W,3,2,MacKenzie Gore,2.38,3.9
12,Apr 14,angels,at,BOS,L,3,5,Tanner Houck,4.5,4.98
13,Apr 15,angels,at,BOS,L,7,9,Nick Pivetta,0.9,4.98
14,Apr 16,angels,at,BOS,L,1,2,Garrett Whitlock,9.0,9.08
15,Apr 17,angels,at,BOS,W,5,4,Brayan Bello,5.412842655433341,4.874726837766857
16,Apr 18,angels,at,NYY,W,5,2,Clarke Schmidt,8.44,6.28
17,Apr 19,angels,at,NYY,L,2,3,Jhony Brito,6.75,4.13
18,Apr 20,angels,at,NYY,L,3,9,Nestor Cortes,2.6,3.75
19,Apr 21,angels,vs,KCR,W,2,0,Taylor Clarke,6.75,5.03
20,Apr 22,angels,vs,KCR,L,8,11,Zack Greinke,4.03,4.05
21,Apr 23,angels,vs,KCR,W,4,3,Jordan Lyles,4.62,4.74
22,Apr 24,angels,vs,OAK,L,10,11,Ken Waldichuk,7.65,7.88
23,Apr 25,angels,vs,OAK,W,5,3,Mason Miller,4.15,2.36
24,Apr 26,angels,vs,OAK,W,11,3,Luis Medina,5.412842655433341,4.874726837766857
25,Apr 27,angels,vs,OAK,W,8,7,JP Sears,4.98,5.59
26,Apr 28,angels,at,MIL,L,1,2,Wade Miley,1.96,3.59
27,Apr 29,angels,at,MIL,L,5,7,Corbin Burnes,4.55,4.4
28,Apr 30,angels,at,MIL,W,3,0,Colin Rea,5.17,5.33
29,May 2,angels,at,STL,W,5,1,Steven Matz,6.23,5.21
30,May 3,angels,at,STL,W,6,4,Miles Mikolas,5.97,4.96
31,May 4,angels,at,STL,W,11,7,Jack Flaherty,3.94,5.1
32,May 5,angels,vs,TEX,W,5,4,Dane Dunning,1.77,3.24
33,May 6,angels,vs,TEX,L,1,10,Nathan Eovaldi,3.93,2.0
34,May 7,angels,vs,TEX,L,8,16,Martin Perez,2.41,4.09
35,May 8,angels,vs,HOU,W,6,4,Hunter Brown,2.6,2.77
36,May 9,angels,vs,HOU,L,1,3,Framber Valdez,2.6,3.24
37,May 10,angels,vs,HOU,L,4,5,Cristian Javier,3.54,3.51
38,May 12,angels,at,CLE,W,5,4,Logan Allen,2.7,3.46
39,May 13,angels,at,CLE,L,6,8,Cal Quantrill,3.89,4.53
40,May 14,angels,at,CLE,L,3,4,Tanner Bibee,4.3,3.15
41,May 15,angels,at,BAL,W,9,5,Grayson Rodriguez,5.08,4.8
42,May 16,angels,at,BAL,L,3,7,Dean Kremer,4.97,5.01
43,May 17,angels,at,BAL,L,1,3,Kyle Bradish,4.56,4.34
44,May 18,angels,at,BAL,W,6,5,Tyler Wells,2.68,4.48
45,May 19,angels,vs,MIN,W,5,4,Joe Ryan,2.16,2.52
46,May 20,angels,vs,MIN,L,2,6,Louie Varland,4.3,5.11
47,May 21,angels,vs,MIN,W,4,2,Pablo Lopez,4.0,3.82
48,May 22,angels,vs,BOS,W,2,1,Tanner Houck,5.48,4.08
49,May 23,angels,vs,BOS,W,4,0,Brayan Bello,4.45,4.87
50,May 24,angels,vs,BOS,W,7,3,James Paxton,2.45,3.92
51,May 26,angels,vs,MIA,L,2,6,Jesus Luzardo,3.83,3.91
52,May 27,angels,vs,MIA,L,5,8,Edward Cabrera,5.05,4.69
53,May 28,angels,vs,MIA,L,0,2,Eury Perez,3.86,5.07
54,May 29,angels,at,CHW,W,6,4,Michael Kopech,4.24,5.64
55,May 30,angels,at,CHW,L,3,7,Lucas Giolito,3.98,4.2
56,May 31,angels,at,CHW,W,12,5,Lance Lynn,5.83,4.71
57,Jun 1,angels,at,HOU,L,2,5,Ronel Blanco,4.5,3.7
58,Jun 2,angels,at,HOU,L,2,6,Framber Valdez,2.38,2.94
59,Jun 3,angels,at,HOU,L,6,9,Cristian Javier,2.97,3.82
60,Jun 4,angels,at,HOU,W,2,1,J.P. France,4.0,5.25
61,Jun 6,angels,vs,CHC,W,7,4,Hayden Wesneski,4.81,5.66
62,Jun 7,angels,vs,CHC,W,6,2,Jameson Taillon,7.05,4.12
63,Jun 8,angels,vs,CHC,W,3,1,Drew Smyly,3.56,3.8
64,Jun 9,angels,vs,SEA,W,5,4,Luis Castillo,2.55,2.83
65,Jun 10,angels,vs,SEA,L,2,6,Bryan Woo,27.0,0.78
66,Jun 11,angels,vs,SEA,W,9,4,Logan Gilbert,3.8,3.07
67,Jun 12,angels,at,TEX,W,9,6,Dane Dunning,5.412842655433341,4.874726837766857
68,Jun 13,angels,at,TEX,W,7,3,Cody Bradford,5.412842655433341,4.874726837766857
69,Jun 14,angels,at,TEX,L,3,6,Andrew Heaney,5.412842655433341,4.874726837766857
70,Jun 15,angels,at,TEX,W,5,3,Nathan Eovaldi,5.412842655433341,4.874726837766857
71,Jun 16,angels,at,KCR,W,3,0,Brady Singer,5.412842655433341,4.874726837766857
72,Jun 17,angels,at,KCR,L,9,10,Mike Mayers,5.412842655433341,4.874726837766857
73,Jun 18,angels,at,KCR,W,5,2,Zack Greinke,5.412842655433341,4.874726837766857
74,Jun 20,angels,vs,LAD,L,0,2,Clayton Kershaw,5.412842655433341,4.874726837766857
75,Jun 21,angels,vs,LAD,L,0,2,Brusdar Graterol,5.412842655433341,4.874726837766857
76,Jun 23,angels,at,COL,L,4,7,Kyle Freeland,5.412842655433341,4.874726837766857
77,Jun 24,angels,at,COL,W,25,1,Chase Anderson,5.412842655433341,4.874726837766857
78,Jun 25,angels,at,COL,L,3,4,Austin Gomber,5.412842655433341,4.874726837766857
79,Jun 26,angels,vs,CHW,W,2,1,Dylan Cease,5.412842655433341,4.874726837766857
80,Jun 27,angels,vs,CHW,W,4,2,Michael Kopech,5.412842655433341,4.874726837766857
81,Jun 28,angels,vs,CHW,L,5,11,Lucas Giolito,5.412842655433341,4.874726837766857
82,Jun 29,angels,vs,CHW,L,7,9,Lance Lynn,5.412842655433341,4.874726837766857
83,Jun 30,angels,vs,ARI,L,2,6,Tommy Henry,5.412842655433341,4.874726837766857
84,Jul 1,angels,vs,ARI,L,1,3,Ryne Nelson,5.412842655433341,4.874726837766857
85,Jul 2,angels,vs,ARI,W,5,2,Zac Gallen,5.412842655433341,4.874726837766857
86,Jul 3,angels,at,SDP,L,3,10,Blake Snell,5.412842655433341,4.874726837766857
87,Jul 4,angels,at,SDP,L,5,8,Joe Musgrove,5.412842655433341,4.874726837766857
88,Jul 5,angels,at,SDP,L,3,5,Seth Lugo,5.412842655433341,4.874726837766857
89,Jul 7,angels,at,LAD,L,4,11,Tony Gonsolin,5.412842655433341,4.874726837766857
90,Jul 8,angels,at,LAD,,,,Michael Grove,5.412842655433341,4.874726837766857
91,Jul 14,angels,vs,HOU,,,,Hunter Brown,5.412842655433341,4.874726837766857
92,Jul 15,angels,vs,HOU,,,,J.P. France,5.412842655433341,4.874726837766857
93,Jul 16,angels,vs,HOU,,,,Framber Valdez,5.412842655433341,4.874726837766857
94,Jul 17,angels,vs,NYY,,,,Domingo German,5.412842655433341,4.874726837766857
95,Jul 18,angels,vs,NYY,,,,Luis Severino,5.412842655433341,4.874726837766857
96,Jul 19,angels,vs,NYY,,,,Carlos Rodon,5.412842655433341,4.874726837766857
97,Jul 21,angels,vs,PIT,,,,Johan Oviedo,5.412842655433341,4.874726837766857
98,Jul 22,angels,vs,PIT,,,,Mitch Keller,5.412842655433341,4.874726837766857
99,Jul 23,angels,vs,PIT,,,,,5.412842655433341,4.874726837766857
100,Jul 25,angels,at,DET,,,,,5.412842655433341,4.874726837766857
101,Jul 26,angels,at,DET,,,,,5.412842655433341,4.874726837766857
102,Jul 27,angels,at,DET,,,,,5.412842655433341,4.874726837766857
103,Jul 28,angels,at,TOR,,,,,5.412842655433341,4.874726837766857
104,Jul 29,angels,at,TOR,,,,,5.412842655433341,4.874726837766857
105,Jul 30,angels,at,TOR,,,,,5.412842655433341,4.874726837766857
106,Jul 31,angels,at,ATL,,,,,5.412842655433341,4.874726837766857
107,Aug 1,angels,at,ATL,,,,,5.412842655433341,4.874726837766857
108,Aug 2,angels,at,ATL,,,,,5.412842655433341,4.874726837766857
109,Aug 3,angels,vs,SEA,,,,,5.412842655433341,4.874726837766857
110,Aug 4,angels,vs,SEA,,,,,5.412842655433341,4.874726837766857
111,Aug 5,angels,vs,SEA,,,,,5.412842655433341,4.874726837766857
112,Aug 6,angels,vs,SEA,,,,,5.412842655433341,4.874726837766857
113,Aug 7,angels,vs,SFG,,,,,5.412842655433341,4.874726837766857
114,Aug 8,angels,vs,SFG,,,,,5.412842655433341,4.874726837766857
115,Aug 9,angels,vs,SFG,,,,,5.412842655433341,4.874726837766857
116,Aug 11,angels,at,HOU,,,,,5.412842655433341,4.874726837766857
117,Aug 12,angels,at,HOU,,,,,5.412842655433341,4.874726837766857
118,Aug 13,angels,at,HOU,,,,,5.412842655433341,4.874726837766857
119,Aug 14,angels,at,TEX,,,,,5.412842655433341,4.874726837766857
120,Aug 15,angels,at,TEX,,,,,5.412842655433341,4.874726837766857
121,Aug 16,angels,at,TEX,,,,,5.412842655433341,4.874726837766857
122,Aug 18,angels,vs,TBR,,,,,5.412842655433341,4.874726837766857
123,Aug 19,angels,vs,TBR,,,,,5.412842655433341,4.874726837766857
124,Aug 20,angels,vs,TBR,,,,,5.412842655433341,4.874726837766857
125,Aug 21,angels,vs,CIN,,,,,5.412842655433341,4.874726837766857
126,Aug 22,angels,vs,CIN,,,,,5.412842655433341,4.874726837766857
127,Aug 23,angels,vs,CIN,,,,,5.412842655433341,4.874726837766857
128,Aug 25,angels,at,NYM,,,,,5.412842655433341,4.874726837766857
129,Aug 26,angels,at,NYM,,,,,5.412842655433341,4.874726837766857
130,Aug 27,angels,at,NYM,,,,,5.412842655433341,4.874726837766857
131,Aug 28,angels,at,PHI,,,,,5.412842655433341,4.874726837766857
132,Aug 29,angels,at,PHI,,,,,5.412842655433341,4.874726837766857
133,Aug 30,angels,at,PHI,,,,,5.412842655433341,4.874726837766857
134,Sep 1,angels,at,OAK,,,,,5.412842655433341,4.874726837766857
135,Sep 2,angels,at,OAK,,,,,5.412842655433341,4.874726837766857
136,Sep 3,angels,at,OAK,,,,,5.412842655433341,4.874726837766857
137,Sep 4,angels,vs,BAL,,,,,5.412842655433341,4.874726837766857
138,Sep 5,angels,vs,BAL,,,,,5.412842655433341,4.874726837766857
139,Sep 6,angels,vs,BAL,,,,,5.412842655433341,4.874726837766857
140,Sep 7,angels,vs,CLE,,,,,5.412842655433341,4.874726837766857
141,Sep 8,angels,vs,CLE,,,,,5.412842655433341,4.874726837766857
142,Sep 9,angels,vs,CLE,,,,,5.412842655433341,4.874726837766857
143,Sep 10,angels,vs,CLE,,,,,5.412842655433341,4.874726837766857
144,Sep 11,angels,at,SEA,,,,,5.412842655433341,4.874726837766857
145,Sep 12,angels,at,SEA,,,,,5.412842655433341,4.874726837766857
146,Sep 13,angels,at,SEA,,,,,5.412842655433341,4.874726837766857
147,Sep 15,angels,vs,DET,,,,,5.412842655433341,4.874726837766857
148,Sep 16,angels,vs,DET,,,,,5.412842655433341,4.874726837766857
149,Sep 17,angels,vs,DET,,,,,5.412842655433341,4.874726837766857
150,Sep 19,angels,at,TBR,,,,,5.412842655433341,4.874726837766857
151,Sep 20,angels,at,TBR,,,,,5.412842655433341,4.874726837766857
152,Sep 21,angels,at,TBR,,,,,5.412842655433341,4.874726837766857
153,Sep 22,angels,at,MIN,,,,,5.412842655433341,4.874726837766857
154,Sep 23,angels,at,MIN,,,,,5.412842655433341,4.874726837766857
155,Sep 24,angels,at,MIN,,,,,5.412842655433341,4.874726837766857
156,Sep 25,angels,vs,TEX,,,,,5.412842655433341,4.874726837766857
157,Sep 26,angels,vs,TEX,,,,,5.412842655433341,4.874726837766857
158,Sep 27,angels,vs,TEX,,,,,5.412842655433341,4.874726837766857
159,Sep 29,angels,vs,OAK,,,,,5.412842655433341,4.874726837766857
160,Sep 30,angels,vs,OAK,,,,,5.412842655433341,4.874726837766857
161,Oct 1,angels,vs,OAK,,,,,5.412842655433341,4.874726837766857
162,na,na,na,na,na,na,na,na,5.412842655433341,4.874726837766857
163,Mar 30,astros,vs,CHW,L,2,3,Dylan Cease,5.412842655433341,4.874726837766857
164,Mar 31,astros,vs,CHW,W,6,3,Lance Lynn,5.412842655433341,4.874726837766857
165,Apr 1,astros,vs,CHW,W,6,4,Lucas Giolito,5.412842655433341,4.874726837766857
166,Apr 2,astros,vs,CHW,L,3,6,Mike Clevinger,5.412842655433341,4.874726837766857
